i,Runners,Winners,Expected,Archie
0,0,0,0,NaN
1,2,0,0.03691,0.0376039814781798
2,29,2,0.7730200000000002,2.0008651473431787
3,254,6,9.173489999999996,1.1389769923004054
4,644,31,29.365080000000017,0.0953741019181153
5,1471,79,81.81742999999996,0.10273390181745402
6,2739,195,179.2742099999999,1.4760657884172954
7,3651,263,274.20167000000055,0.49476863626773204
8,3793,329,322.19433,0.15710008665436875
9,3360,317,318.78027000000026,0.010984284953796214
10,2840,285,297.72330999999957,0.607411350862858
11,2394,262,274.5827699999997,0.6513087608601311
12,1897,244,236.93547000000012,0.24070151691037384
13,1422,200,191.64103999999983,0.4213895244771683
14,1124,162,162.84367999999986,0.0051116002780703645
15,780,129,120.71845000000015,0.6721609631288458
16,699,133,115.29554999999995,3.2556409721895276
17,517,78,90.18833000000006,1.9952270353240398
18,274,52,50.553589999999964,0.05074672395935441
19,285,43,55.60816999999999,3.551668492645572
20,289,68,59.15115000000002,1.6644317118232608
21,151,25,32.39302999999999,2.1481277219002974
22,70,16,15.705810000000001,0.00710460856140126
23,63,18,14.857789999999998,0.8696224113473872
24,88,17,21.555549999999986,1.2751065834342594
25,90,27,22.952939999999998,0.9578637444741536
26,49,15,12.939840000000002,0.44569875982640517
27,27,6,7.3881,0.3590482690466461
28,10,3,2.8317699999999997,0.013942382132512508
29,4,2,1.17087,0.830125332643671
30,8,4,2.4385200000000005,1.4382889282774551
31,11,2,3.4734700000000007,0.9135176271069501
32,14,7,4.56941,1.919342400039005
33,20,5,6.70438,0.6517719085346321
34,17,6,5.821840000000001,0.008291607622242842
35,14,4,4.963139999999998,0.28955615114598704
36,0,0,0,NaN
37,1,1,0.37562,1.6622650551088864
38,0,0,0,NaN
39,0,0,0,NaN
40,0,0,0,NaN
41,0,0,0,NaN
42,0,0,0,NaN
43,0,0,0,NaN
44,0,0,0,NaN
45,0,0,0,NaN
46,0,0,0,NaN
47,0,0,0,NaN
48,0,0,0,NaN
49,1,0,0.49565,0.9827500743531276
50,1,1,0.50435,0.9827500743531279
51,0,0,0,NaN
52,0,0,0,NaN
53,0,0,0,NaN
54,0,0,0,NaN
55,0,0,0,NaN
56,0,0,0,NaN
57,0,0,0,NaN
58,0,0,0,NaN
59,0,0,0,NaN
60,0,0,0,NaN
61,0,0,0,NaN
62,0,0,0,NaN
63,0,0,0,NaN
64,0,0,0,NaN
65,0,0,0,NaN
66,0,0,0,NaN
67,0,0,0,NaN
68,0,0,0,NaN
69,0,0,0,NaN
70,0,0,0,NaN
71,0,0,0,NaN
72,0,0,0,NaN
73,0,0,0,NaN
74,0,0,0,NaN
75,0,0,0,NaN
76,0,0,0,NaN
77,0,0,0,NaN
78,0,0,0,NaN
79,0,0,0,NaN
80,0,0,0,NaN
81,0,0,0,NaN
82,0,0,0,NaN
83,0,0,0,NaN
84,0,0,0,NaN
85,0,0,0,NaN
86,0,0,0,NaN
87,0,0,0,NaN
88,0,0,0,NaN
89,0,0,0,NaN
90,0,0,0,NaN
91,0,0,0,NaN
92,0,0,0,NaN
93,0,0,0,NaN
94,0,0,0,NaN
95,0,0,0,NaN
96,0,0,0,NaN
97,0,0,0,NaN
98,0,0,0,NaN
99,0,0,0,NaN
